model,test,status,prompt_tok_s_avg,gen_tok_s_avg,prompt_tok_s_std,gen_tok_s_std,prompt_tokens_avg,gen_tokens_avg,ttft_ms_avg,total_ms_avg
Qwen3.5-35B-A3B-GGUF,Prompt ~16 tokens,OK,269.8,62.4,0.0,0.0,30,10,111,271
Qwen3.5-35B-A3B-GGUF,Prompt ~256 tokens,OK,954.7,62.8,0.0,0.0,270,10,283,442
Qwen3.5-35B-A3B-GGUF,Prompt ~1024 tokens,OK,1267.4,61.9,0.0,0.0,1038,10,819,981
Qwen3.5-35B-A3B-GGUF,Generate 50 tokens,OK,215.8,57.9,0.0,0.0,25,50,116,979
Qwen3.5-35B-A3B-GGUF,Generate 250 tokens,OK,221.8,57.1,0.0,0.0,26,250,117,4493
Qwen3.5-35B-A3B-GGUF,Generate 500 tokens,OK,220.7,57.0,0.0,0.0,26,500,118,8891
Qwen3.5-35B-A3B-GGUF,Context ~1024 tokens,OK,1012.0,57.0,0.0,0.0,1042,100,1030,2785
Qwen3.5-35B-A3B-GGUF,Context ~4096 tokens,OK,1117.9,55.6,0.0,0.0,3585,100,3207,5004
Qwen3.5-35B-A3B-GGUF,Context ~8192 tokens,OK,1055.8,54.3,0.0,0.0,4611,100,4367,6209
Qwen3.5-35B-A3B-GGUF,Reasoning: Math,OK,347.8,57.0,0.0,0.0,62,500,178,8952
Qwen3.5-35B-A3B-GGUF,Reasoning: Code reasoning,OK,399.3,57.0,0.0,0.0,96,500,240,9014
